SMILES,bioclass
CCOC(=O)c1c(NC(=O)CSc2nnc(C)s2)sc2c1CCCCC2,1
O=C(C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1)N1CCc2ccccc21,1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,1
CC[C@]1(c2cccc(O)c2)CCCCN(C)C1,0
Cc1ccc(S(=O)(=O)N(CC(=O)N2CCN(c3ccc(F)cc3)CC2)C2CCCCC2)cc1,1
Cc1cc(C2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)c(C)s1,1
COc1cc(-c2nc3n(n2)CCC[C@H]3c2ccc(F)cc2C)ccc1-n1cnc(C)c1,1
O=C(NCCNS(=O)(=O)c1ccccc1Cl)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1
N#CCCCC[N+]12CN3CN(CN(C3)C1)C2,0
N[C@H](CCC(=O)NCC(=O)O)C(=O)O,0
COc1cccc(-c2nc(NCc3ccccc3)c3ccccc3n2)c1,1
CCOC(=O)CCCN,0
O=C(CCc1ccccc1)Nc1nc[nH]n1,0
O=C(O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,1
CC(=O)Nc1ccc(NC(=O)C2CCN(S(=O)(=O)c3cccc4nonc34)CC2)cc1,0
C1CCc2c(nc3nnnn3c2NC2CCCC2)C1,0
CNC1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,0
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,0
O=C(/C=N/O)Nc1ccccc1,0
CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,0
Cn1c(CN2CCCCC2)nc2cc(NC(=O)c3ccc(Cl)cc3)ccc21,1
N#Cc1c[nH]c(C(=O)Nc2ccc(C3CCN(CCN4CCOCC4)CC3)cc2C2=CCCCC2)n1,0
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,0
COc1ccc2c(C)cc(SCC(=O)c3ccc4c(c3)OCO4)nc2c1,1
CCSc1nc(O)c2c(n1)N=C1CC(C)(C)CC(O)=C1C2c1ccccn1,0
CSc1nc2ccccc2cc1/C=C(\C#N)c1cccc(Cl)c1,1
COc1ccc(COC(=O)N/N=C2/C[C@@H](O)[C@@H](O)[C@@H]3[C@@H]4C(=O)N(C(C)(C)C)C(=O)[C@H]4CC[C@@H]23)cc1,0
N=C(NOC(=O)Cc1ccc(Cl)cc1)c1cccnc1,1
CC(C)(SCc1ccccc1)[C@H](N)C(=O)O,0
CCOC(=O)C1=C(O)/C(=C/c2cc(OC)c(OC)c(OC)c2)N=C1C,0
Cc1ncc(N=Nc2ccccc2Cl)c(-c2ccccc2)n1,1
CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1OC(=O)CCC,0
CCCCN=C(S)NNC(=O)c1csc2c1CCC(C)C2,1
CS(=O)(=O)N(CC(=O)Nc1c(F)cccc1F)c1ccc(C23CC4CC(CC(C4)C2)C3)cc1,1
CC(c1nncn1C)N(Cc1ccccc1Cl)c1ccc(C#N)c(Cl)c1,1
COC(=O)c1cc(NC(=O)/C=C/c2ccc3c(c2)OCO3)cc(C(=O)OC)c1,1
COc1ccc(-c2cccc(C(=O)Nc3ccc(OC)c(OC)c3)c2)cc1,0
O=C(O)[C@@H]1[C@@H]2C[C@@H]3[C@@H](OC(=O)[C@@H]31)[C@H]2Br,0
Nc1ccc(CCNc2ncnc3c2ncn3[C@@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)cc1,0
O=C(OCc1ccc(Cl)cc1Cl)c1cccnc1Cl,1
NCCNc1ncnc2ccc(Cl)cc12,0
c1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1,1
COc1ccc(-n2c(-c3ccccc3)nc(=S)c3c2CCCC3)cc1,0
CC(C)Oc1cccc(C(=O)NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,1
S=C1SCN(Cc2ccccn2)CN1Cc1ccco1,1
O=C(Oc1ccccc1)N1CCC[C@@]2(CCN(c3ccncc3)C2)C1,1
O=C(O)C[C@H](Cc1ccccc1)C(=O)O,0
OCCCNCc1ccccn1,0
Cn1c(=O)c2cc(S(=O)(=O)NCCC(=O)NCc3ccccc3Cl)ccc2n(C)c1=O,0
COc1cccc(Nc2ncc3nc(-c4cc(F)cc(F)c4)c(=O)n(CCC#N)c3n2)c1,0
C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@H]1CC[C@H]2O,0
c1c[nH]c(CN2CCN(Cc3ncc[nH]3)CC2)n1,0
CC(C)(C)c1ccc(-c2c(C#N)c(N)nc3c2CCCC3)s1,1
CN(C)CCCN1CCC2(CCC(C(C)(C)C)CC2)CC1,0
Cc1ccc(C(=O)C2=C(O)C(=O)N(CCCn3ccnc3)C2c2ccccn2)cc1,1
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314,0
N[C@H](Cc1ccccc1)c1nnn[nH]1,0
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@@H](O)c1ccccc1)C2,0
COc1ccc(Oc2ncc3nc(-c4cccc(C#N)c4)c(=O)n(C)c3n2)cc1,0
CCC[C@@H]1O[C@@H]2C[C@@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@H]4[C@H](O)C[C@@]3(C)[C@@]2(C(=O)CO)O1,0
COc1ccccc1N1CCN(CCCNc2c(C)c(=O)n(C)c(=O)n2C)CC1,0
O=C(O)C1=CCNCC1,0
Cc1ccc(OCC(=O)N/N=C\c2c(C)n(C)c3ccccc23)c([N+](=O)[O-])c1,1
CN(C)c1ccc(-c2cncnc2NCc2cccs2)cc1,1
c1cc(-c2nnc(C3CCCCC3)o2)ccn1,1
