SMILES,bioclass
CCCn1c(C)nc2c(c1=O)c1nc3ccccc3nc1n2CCC1=CCCCC1,1
CCCNC(=O)CSc1nc(-c2cccs2)cc(C(F)(F)F)n1,1
C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(OCc4ccccn4)cc3)CC2)NC(=O)NC1=O,0
COc1nn(C(C)C(=O)N/N=C/c2ccc(O)cc2)cc1[N+](=O)[O-],0
Cc1cc(NC(=O)c2cnn3ccc(N)nc23)n(-c2cccc(Cl)c2)n1,0
COC(=O)c1ccc2ccn(CC(=O)NC3CCCCC3)c2c1,0
COc1ccccc1-c1nccc(NCc2cccc(C)c2)n1,1
Nc1ccc(S(=O)(=O)NCCS(=O)(=O)O)cc1,0
CCC1OC23CCCCC2C(C#N)(C(=N)O3)C1(C#N)C#N,0
Cc1ccoc1C(=O)Nc1ccc(N2C(=O)c3ccncc3C2=O)c(Cl)c1,0
CCCC(=O)Nc1nnc(CCN2CCCCC2)s1,0
CC12CCC(C(=O)N(NC(=O)c3ccc(O)cc3)C1=O)C2(C)C,0
CC(=O)NC1C(OCCOc2ccc(Cl)cc2Cl)OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O,0
C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@@]3(C)[C@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@]2(C)O1,0
COc1cc(Cl)ccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,0
C[C@H]1CN(Cc2ccc(CC(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)CCN1,0
CCOC(=O)NNC1CC(=O)N(c2ccc(OC)cc2)C1=O,0
Cc1cccc(CNc2cc(-c3ccccc3C)ncn2)c1,1
CCC(C)(C)n1nnnc1C(c1ccc(C)cc1)N1CCC(C)CC1,0
COc1cc(NC(=O)COC(=O)c2nc3nc(C)cc(C)n3n2)cc(OC)c1,1
CCCc1nnc(SCC(=O)N2CCCCC2C)n1CC1CCCO1,0
FC(F)(F)c1cccc(NC(=S)Nc2cccc(Cl)c2)c1,1
COC(=O)N1CCC2(CCCN(c3ccncc3)C2)CC1,0
Cn1ccc(CN(c2ccc3[nH]ncc3c2)c2nc(-c3ccccn3)cs2)n1,0
Cc1cccc(Sc2ccccc2N2CCNCC2)c1C,0
CCN(CC)C(=O)CSc1nc(O)cc(=O)n1CC,0
COn1c(-c2ccccc2)nc2c1CCc1nonc1-2,1
COc1ccccc1OC(C)C(=O)O,0
CCC(=O)Nc1ccc(C(=O)OCC(=O)c2ccc(C)c([N+](=O)[O-])c2)cc1,0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0
COc1cccc(Cn2c(=O)cnc3cnc(Oc4ccccc4)nc32)c1,1
Cc1ccc(N2CCN(CCC(=O)O)CC2)cc1,0
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,0
CSc1nc(C)cc(C(=O)NCCN2CCN(c3cccc(C)c3C)CC2)n1,0
CC1(C)[C@@H]2CC[C@]1(C)[C@@H](OC(=O)CSC#N)C2,0
O=C(Nc1ccccc1)c1ccccc1CC[N+](=O)[O-],1
OC(COCC1COc2ccccc2O1)CN1CCc2ccccc2C1,1
Cc1ccc(Nc2ncccc2C(=O)NCc2cccs2)c(C)c1,1
Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,0
CC1=C2C(=O)[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@H]2CC[C@@]12O[C@H]1C[C@H](C)CN[C@H]1[C@@H]2C,0
COc1ccc(CCNC(=O)CC(NS(=O)(=O)c2ccc(NC(C)=O)cc2)C(C)C)cc1OC,0
Cc1ccc(/C=C/C(=O)NC(=S)Nc2ccccc2C(=O)NC2CCCCC2)cc1,0
Cn1c(C(=O)Nc2ccccc2)cc2sccc21,1
CCCNC(=O)c1cn2ncnc(Nc3cc(C(=O)NC4CC4)ccc3C)c2c1C,0
Cn1c(SC2=CS(=O)(=O)c3ccccc32)nc2ccccc21,1
Cc1ccc(S(=O)(=O)N(C)C2(C(=O)N[C@H]3C4CC5CC3C[C@](C(N)=O)(C5)C4)CC2)cc1F,0
CC1CCC(=C(C#N)C(=O)Nc2cccc(Cl)c2)CC1,1
O=C(c1csnn1)N1CCC2(CC1)CN(c1ccccc1)C2,0
CN(C)c1ccc(-c2nccc(Nc3ccc(F)cc3)n2)cc1,1
CC(=O)c1cccc(NC(=O)CCC2CCCC2)c1,1
O=C(c1cnccn1)N1CCC2(CC1)CCN(c1ccccn1)CC2,0
Cc1nc2cnc(OCc3ccccc3)nc2n(CCc2ccccc2)c1=O,1
CCC(=O)[C@@]1(C)[C@H](C)C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3[C@H](O)C[C@]21C,0
COC(=O)[C@H](C)NC(=O)C/C=C\[C@@H](C)[C@H]1C=C[C@H](O)[C@@H](CO)O1,0
Cn1cccc1C(=O)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,0
COc1cc(C2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2CCCC(=O)O)ccc1O,0
O=c1c2ccc([N+](=O)[O-])c3cccc(c32)c2nc3ccccc3n12,1
CNC(=O)N1CCN(c2ccc(N3C[C@H](CNC(=S)OC)OC3=O)cc2F)CCN1,0
N[C@H](Cn1ccc(=O)c(O)c1)C(=O)O,0
O=C(Nc1ccc(N2C(=O)c3cccc(Cl)c3C2=O)c(Cl)c1)c1ncccc1Cl,0
O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,1
COc1ccc(Oc2ncc3nc(-c4ccccc4)c(=O)n(CCC#N)c3n2)cc1,1
Cc1cccc(C)c1NC(=O)N1CCC(N2CCCCC2)CC1,0
CCOc1ccc(C2C(C(=O)O)c3ccccc3C(=O)N2CCN2CCOCC2)cc1,0
CCN1C(=O)[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/O[C@@H](C)CN4CCCCc5nc(C)c(C)cc54)[C@@H]3CC[C@@H]2C1=O,0
COc1ccc(C(=O)Nc2cccc(/C(C)=N/NC(=O)c3ccc([N+](=O)[O-])cc3)c2)cc1OC,0
CCOC(=O)c1ccc(NC(=O)C2(c3ccc(OC)cc3)CCOCC2)cc1,0
CCCC[C@@H]1C[C@H]1C(NS(=O)(=O)c1cccc2cccnc12)c1ccc(-c2ccccc2)cc1,0
CCCn1nc2cc(C(=O)NCc3ccccc3OC)ccc2c1OCC,0
Cn1c(-c2ccc(Br)cc2)cnc1NCc1cccnc1,1
CN1CCCC2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)C1,0
Cc1cc(O)c(/C=N/Nc2cccc(Cl)c2)c(=O)o1,1
Cc1ccc(S(=O)(=O)O/N=C2/CCCc3occc32)cc1,0
CC1CCCC(C)N1CC(O)COCC1COc2ccccc2O1,0
CCOC(=O)CCN1C(=O)[C@H]2[C@H]3[C@H](O)[C@H](O)C/C(=N/NC(=O)OCc4ccccc4)[C@H]3CC[C@@H]2C1=O,0
CCn1c(P(=O)(O)c2ccccc2)nc2ccccc21,0
CCOc1cc2[nH]c(=S)n(CCCC(=O)NCc3ccco3)c(=O)c2cc1OCC,0
Cc1nn(-c2ccc(F)cc2)c(C)c1NS(=O)(=O)c1ccc2ccccc2c1,1
OC1(c2ccc(OC(F)F)cc2)CS/C(=N\c2cccnc2)N1C1CC1,1
CCCCn1c(SC(C)C(N)=O)nc2cc(C(=O)OC)ccc2c1=O,1
OCCCSCCO,0
NP(N)(=O)NC(=O)c1ccc(F)cc1,0
Clc1ccccc1-c1ccc2ncnc(NCCN3CCOCC3)c2c1,1
N=C(N)NNC(=O)C(=O)O,0
COc1ccc(C(CC(=O)Nc2ccc(F)cc2)c2ccccc2)cc1,1
O=C(c1ccncc1)N1CCC[C@@]2(CCN(c3cccc(-c4ccccc4)c3)C2)C1,1
