SMILES,bioclass
N#CCNC(=O)c1cccc(-c2cc(-c3ccc(CNC4CCOCC4)cc3)on2)c1,1
COCCNC(=O)c1c(NC(=O)c2ccccc2C(F)(F)F)sc2c1CCOC2,0
CC(C)[C@@H](NC(=O)c1ccc(-c2ccc(CSc3nc(O)c4c(n3)CCC4)c(F)c2)o1)C(=O)NC1CNC1,0
CC(C)n1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(N5CCOCC5)cc4)cc3)nc21,0
CC(C)S(=O)(=O)c1ccc(-c2cnc3c(O)n(Cc4cc(F)ccc4C#N)c(N4CCC[C@@H](N)C4)nc2-3)cc1,1
CCN(CC)C(=O)C(C#N)=C(N)c1cc(O)c(O)c([N+](=O)[O-])c1,1
NCC1(c2ccc(-c3ccccc3)cc2)CCCCC1,0
Cc1c2c(n3c1CCCN1CCNC[C@H]1CNc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O,1
CN(C)CC1(c2ccc(F)c(Cl)c2)CCCCC1,0
Cc1nc(N)nc(N[C@@H](C)c2nc3cccc(NCc4ccc(C(=O)NO)cc4)c3c(=O)n2-c2ccccc2)c1C#N,1
Cc1ccc(CCNc2ncc(C)n(CC(=O)N(C)CCON=C(N)N)c2=O)cc1,1
Cc1nc(-c2cc3cc(Oc4ccccc4)cc(C#N)c3[nH]2)sc1C(=O)O,1
Cc1cc(CN(C)C)ccc1C(=O)Cn1ccc(OCc2ccccc2)cc1=O,0
O=C(N[C@@H](Cn1ccnc1)c1ccc(-c2ccc(F)cc2)cc1Cl)c1ccc(-c2nnc(-c3ccccc3)o2)cc1,1
Cc1cc(CN(C)C)ccc1C(=O)Cn1ncc(OCc2ccccc2)cc1=O,0
Cc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1C#Cc1ccccc1,0
CNC(=O)c1c(-c2ccc(F)cc2)oc2nc(CCC(F)(F)F)c(-c3cccc(C(=O)NC(C)(C)c4ncon4)c3)cc12,1
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1cc(NC(=O)NCCc3cccs3)ccc12)C(=O)O,1
CCCCN1C(=O)[C@H](CC(C)(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2,0
CCc1ccc(CCNc2ncc(C)n(CC(=O)NCCON=C(N)N)c2=O)cc1,0
O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)C1CCC(F)(F)CC1,0
COc1cc(OC)c(/C=C/S(=O)(=O)Cc2cnc(OC)c(NS(C)(=O)=O)c2)c(OC)c1,1
COc1cc([C@@]2(O)CCN(CC(N)=O)C[C@@H]2O)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1,1
CC(C)N(c1ccc(Oc2ccccc2C(F)(F)F)cc1C(=O)O)C(=O)[C@H]1CC[C@H](C)CC1,1
CCN(CC)CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCSC)c(C)c2)n1CC,1
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](NC(=O)c1nnn(-c3cccc(Cl)c3F)c1C)c1cc-2ccn1,1
CCCCc1ccc(COC(=O)N[C@H]2CNC2=O)cc1,0
Cc1ccc2c(C(C(=O)C(F)(F)F)c3ccccc3)c(-c3ccccc3)[nH]c2c1,0
CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(O)nc(N5CCOCC5)n4)cc3)cc2)CC1,1
CN(C)C(=O)c1cc2cnc(Nc3ccc(NC(=O)CCCCCCCN=C=S)cc3)nc2n1C1CCCC1,1
CC(=O)c1ccc(NCC(=O)NC(c2ccc(C)cc2)c2cc(Cl)c3cccnc3c2O)cc1,0
O=S(=O)(NCc1ccc(-c2ccccc2)cc1)c1cc2cc(Br)ccc2[nH]1,0
CC(C)CN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCCC(F)C4)n3)cc2)C1=O,0
Cc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccsc3)cc2)CC1,0
CCC1=C(c2nc(C3CCCCC3)co2)[C@H](c2ccc(O)c(Cl)c2)NC(=O)N1,1
O=C1NCC2(CCCNC2)c2[nH]c(-c3ccnc(-c4cc5ccccc5o4)n3)cc21,1
